id,clause_number,heading,body,notes,exceptions,level,parent_number,page,codebook
NCC_VOL_3:TAS A1G4,TAS A1G4,Interpretation,"[2019: A1. 0] (1) The following components of the NCC are non-mandatory and informative: (a) Content identified as explanatory information. (b) The Introduction information, located at the beginning of each Volume, Section or Part. (2) Words in italics must be interpreted in accordance with (a) definitions provided in Schedule 1, unless the contrary intention appears; and (b) additional definitions in State or Territory appendices, as appropriate. (3) The NCC must be interpreted and applied in accordance with the following: (a) A reference to a building is a reference to an entire building or part of a building(as the case requires). (b) A reference to plumbing or drainage solution, or product in Volume Three is a reference to an entire installation, system or product, or part of an installation, system or product (as the case requires). (c) A reference in a Performance Requirementto the degree necessary means (i) that consideration of all the criteria referred to in the Performance Requirementwill determine the outcome appropriate to the circumstances; and (ii) that in certain cases it may not be necessary to incorporate any specific measures to meet the relevant Performance Requirement. (d) An Application statement is mandatory and is provided to specify where and when a requirement or provision applies. (e) A Limitation statement is mandatory and is provided to specify where and when the application of a requirement or provision is limited to a certain circumstance. (f) An Exemption statement is mandatory and is provided to specify where or when a requirement or provision does not need to be complied with. (g) A Note is part of a provision or requirement and provides additional mandatory instructions. (h) Figures in the NCC (i) are used to illustrate specific issues referenced in the associated text; and (ii) are not to be construed as containing all design information that is required for that particular building element or situation. (i) The definitions, symbols and abbreviations listed in Schedule 1. (4) A reference to a building class is a reference to all the sub-classifications of that class. (5) The following sub-classifications apply: (a) Classes 1a and 1b are sub-classifications of Class 1. (b) Classes 7a and 7b are sub-classifications of Class 7. (c) Classes 9a, 9b and 9c are sub-classifications of Class 9. (d) Classes 10a, 10b and 10c are sub-classifications of Class 10. (6) A reference to a sub-classification is solely to that sub-classification. TAS A1G4(7) Introduction to this Part This Part explains the possible methods of demonstrating compliance with the NCC. It explains the various compliance pathways within the NCC and the appropriate steps that must be taken for each of these pathways. Part A2	Compliance with the NCC Governing Requirements",,,2,A1,,NCC_VOL_3
NCC_VOL_3:A5G4,A5G4,Evidence of suitability Volume Three (PCA),Part A5	Documentation of design and construction A5G4 	Evidence of suitability Volume Three (PCA) Section B	Water services,,,2,A5,,NCC_VOL_3
NCC_VOL_3:A2G1,A2G1,Compliance,"[2019: A2. 0, A2. 1] (1) Compliance with the NCC is achieved by complying with— (a) the Governing Requirements of the NCC; and (b) the Performance Requirements. (2) Performance Requirements are satisfied by one of the following, as shown in Figure A2G1: (a) Performance Solution. (b) Deemed-to-Satisfy Solution. (c) A combination of(a) and(b). Compliance Level DEEMED-TO-SATISFY Compliance Solutions",,,2,A2,,NCC_VOL_3
NCC_VOL_3:VIC A2G2,VIC A2G2,Performance Solution,"[2019: A2. 2] (1) A Performance Solution is achieved by demonstrating— (a) compliance with all relevant Performance Requirements; or (b) the solution is at least equivalent to the Deemed-to-Satisfy Provisions. (2) A Performance Solution must be shown to comply with the relevant Performance Requirements through one or a combination of the following Assessment Methods: (a) Evidence of suitability in accordance with Part A5 that shows the use of a material, product, plumbing and drainage product, form of construction or design meets the relevant Performance Requirements. (b) A Verification Method including the following: (i) The Verification Methods provided in the NCC. (ii) Other Verification Methods, accepted by the appropriate authority that show compliance with the relevant Performance Requirements. (c) Expert Judgement. (d) Comparison with the Deemed-to-Satisfy Provisions. (3) Where a Performance Requirement is satisfied entirely by a Performance Solution, in order to comply with(1) the following method must be used to determine the Performance Requirement or Performance Requirements relevant to the Performance Solution: (a) Identify the relevant Performance Requirements from the Section or Part to which the Performance Solution applies. (b) Identify Performance Requirements from other Sections or Parts that are relevant to any aspects of the Performance Solution proposed or that are affected by the application of the Performance Solution. (4) Where a Performance Requirement is proposed to be satisfied by a Performance Solution, the following steps must be undertaken: (a) Prepare a performance-based design brief in consultation with relevant stakeholders. (b) Carry out analysis, as proposed by the performance-based design brief. (c) Evaluate results from(4)(b) against the acceptance criteria in the performance-based design brief. (d) Prepare a final report that includes— (i) all Performance Requirementsand/or Deemed-to-Satisfy Provisions identified through A2G2(3) orA2G4(3) as applicable; and (ii) identification of all Assessment Methods used; and (iii) details of steps(4)(a) to(4)(c); and (iv) confirmation that the Performance Requirement has been met; and (v) details of conditions or limitations, if any exist, regarding the Performance Solution. VIC A2G2(5)",,,2,A2,,NCC_VOL_3
NCC_VOL_3:A2G3,A2G3,Deemed-to-Satisfy Solution,"[2019: A2. 3] (1) A solution that complies with the Deemed-to-Satisfy Provisions is deemed to have met the Performance Requirements. (2) A Deemed-to-Satisfy Solution can show compliance with the Deemed-to-Satisfy Provisions through one or more of the following Assessment Methods: (a) Evidence of suitability in accordance with Part A5 that shows the use of a material, product, plumbing and drainage product, form of construction or design meets a Deemed-to-Satisfy Provision. (b) Expert Judgement.",,,2,A2,,NCC_VOL_3
NCC_VOL_3:A2G4,A2G4,A combination of solutions,"[2019: A2. 4] (1) Performance Requirements may be satisfied by using a combination of Performance Solutions and Deemed-to- Satisfy Solutions. (2) When using a combination of solutions, compliance can be shown through the following, as appropriate: (a) A2G2for assessment against the relevant Performance Requirements. (b) A2G3for assessment against the relevant Deemed-to-Satisfy Provisions. (3) Where a Performance Requirement is satisfied by a Performance Solution in combination with a Deemed-to-Satisfy Solution, in order to comply with(1), the following method must be used to determine the Performance Requirement or Performance Requirements relevant to the Performance Solution: (a) Identify the relevant Deemed-to-Satisfy Provisions of each Section or Part that are to be the subject of the Performance Solution. (b) Identify the Performance Requirements from the same Sections or Parts that are relevant to the identified Deemed-to-Satisfy Provisions. Introduction to this Part This Part explains applying the NCC in accordance with State or Territory legislation. The NCC has legal effect through references in relevant State or Territory building and plumbing legislation. Although the NCC is a nationally consistent code, there are some situations where a State or Territory enforces a variation, addition or deletion to it. This Part also explains how these variations, additions and deletions apply. Part A3	Application of the NCC in States and Territories Governing Requirements",,,2,A2,,NCC_VOL_3
NCC_VOL_3:A3G1,A3G1,State and Territory compliance,"[2019: A3. 0] (1) For application within a particular State or Territory, the volumes of the NCC comprise inclusively of— (a) Sections A to G, I and J and associated schedules of Volume One; and (b) Sections A and H and associated schedules of Volume Two; and (c) Sections A to E and associated schedules of Volume Three. (2) State and Territory variations, additions and deletions must be complied with in conjunction with the NCC. (3) The NCC is subject to, and may be overridden by, State or Territory legislation. (4) State and Territory variations, additions and deletions are contained in the following Schedules: (a) Schedule 3: Commonwealth of Australia. (b) Schedule 4: Australian Capital Territory. (c) Schedule 5: New South Wales. (d) Schedule 6: Northern Territory. (e) Schedule 7: Queensland. (f) Schedule 8: South Australia. (g) Schedule 9: Tasmania. (h) Schedule 10: Victoria. (i) Schedule 11: Western Australia. (5) State and Territory variations and deletions are identified throughout the NCC. Introduction to this Part This Part explains how documents referenced in the NCC are adopted and applied. The NCC itself does not contain details of every design and construction requirement for a building or plumbing or drainagesystem. As such, the NCC calls upon or references other documents with this information. These are called NCC referenced documents. Examples of such documents are Australian Standards, ABCB protocols, ABCB standards and other publications. There are multiple types of referenced documents. A primary referenced document is one referenced in Schedule 2 of the NCC. A secondary referenced document is one referenced in a primary referenced document. Other referenced documents are referenced by secondary and subsequently referenced documents. Part A4	Referenced documents Governing Requirements",,,2,A3,,NCC_VOL_3
NCC_VOL_3:TAS A4G1,TAS A4G1,Referenced documents,"[2019: A4. 0] (1) A reference in the NCC to a document refers to the edition or issues and any amendment listed in Schedule 2. (2) A document referenced in the NCC is only applicable in the context in which the document is quoted. TAS A4G1(3) (3) Where a new edition, issue or amendment of a primary referenced document is not listed in Schedule 2, the new edition, issue or amendment is not referenced for the purpose of the NCC. (4) Any document referenced in a primary referenced document is known as a secondary referenced document. (5) A reference in a primary referenced document to a secondary or other referenced document is a reference to the document as it existed at the time of publication of the primary referenced document.",,,2,A4,,NCC_VOL_3
NCC_VOL_3:A4G2,A4G2,Differences between referenced documents and the NCC,"[2019: A4. 1] The NCC overrules any difference between the NCC(including the ABCB Housing Provisions) and a primary referenced document, including any secondary referenced document.",,,2,A4,,NCC_VOL_3
NCC_VOL_3:A4G3,A4G3,Adoption of referenced documents,"[2019: A4. 2] The NCC does not require compliance with requirements in relation to the following matters where they are prescribed in a referenced document: (a) The rights, responsibilities or obligations between the manufacturer, supplier or purchaser. (b) The responsibilities of any tradesperson or other building operative, architect, engineer, authority, or other person or body. (c) The submission for approval of any material, building component, form or method of construction, to any person, authority or body other than those empowered under State or Territory legislation to give that approval. (d) The submission of a material, product, form of construction or design to any person, authority or body for opinion. (e) Any departure from the NCC, rule, specification or provision at the sole discretion of the manufacturer or purchaser, or by arrangement or agreement between the manufacturer and purchaser. Introduction to this Part This Part explains the evidence needed to show that the NCC requirements are met and the solution is fit for purpose. It covers the use of materials, products, forms of construction and designs. It details separate requirements for the BCA and PCA. Examples of evidence to be prepared and retained include certificates, reports, calculations and any other documents or information showing compliance with the NCC requirements. Part A5	Documentation of design and construction Governing Requirements",,,2,A4,,NCC_VOL_3
NCC_VOL_3:A5G1,A5G1,Suitability,"[2019: A5. 0] (1) A building and plumbing or drainage installation must be constructed using materials, products, plumbing products, forms of construction and designs fit for their intended purpose to achieve the relevant requirements of the NCC. (2) For the purposes of(1), a material, product, plumbing product, form of construction or design is fit for purpose if it is— (a) supported by evidence of suitability in accordance with— (i) A5G2; and (ii) A5G3 or A5G4 as appropriate; and (b) constructed or installed in an appropriate manner.",,,2,A5,,NCC_VOL_3
NCC_VOL_3:A5G2,A5G2,"Evidence of suitability Volumes One, Two and Three","[2019: A5. 1] (1) The form of evidence used must be appropriate to the use of the material, product, plumbing product, form of construction or design to which it relates. (2) Any copy of documentary evidence submitted must be a complete copy of the original certificate, report or document.",,,2,A5,,NCC_VOL_3
NCC_VOL_3:A5G3,A5G3,Evidence of suitability Volumes One and Two(BCA),"[2019: A5. 2] (1) Subject to A5G5, A5G6, A5G7and A5G9, evidence to support that the use of a material, product, form of construction or design meets a Performance Requirement or a Deemed-to-Satisfy Provision may be in the form of any one, or any combination of the following: (a) A current Code Mark Australia or Code Mark Certificate of Conformity. (b) A current Certificate of Accreditation. (c) A current certificate, other than a certificate described in(a) and(b), issued by a certification body stating that the properties and performance of a material, product, form of construction or design fulfil specific requirements of the BCA. (d) A report issued by an Accredited Testing Laboratory that— (i) demonstrates that a material, product or form of construction fulfils specific requirements of the BCA; and (ii) sets out the tests the material, product or form of construction has been subjected to and the results of those tests and any other relevant information that has been relied upon to demonstrate it fulfils specific requirements of the BCA. (e) A certificate or report from a professional engineer or other appropriately qualified person that— (i) certifies that a material, product, form of construction or design fulfils specific requirements of the BCA; and (ii) sets out the basis on which it is given and the extent to which relevant standards, specifications, rules, codes of practice or other publications have been relied upon to demonstrate it fulfils specific requirements of the BCA. (f) Another form of documentary evidence, such as but not limited to a Product Technical Statement, that— (i) demonstrates that a material, product, form of construction or design fulfils specific requirements of the BCA; and (ii) sets out the basis on which it is given and the extent to which relevant standards, specifications, rules, codes of practice or other publications have been relied upon to demonstrate it fulfils specific requirements of the BCA. (2) Evidence to support that a calculation method complies with an ABCB protocol may be in the form of any one, or any combination of the following: (a) A certificate from a professional engineer or other appropriately qualified person that— (i) certifies that the calculation method complies with a relevant ABCB protocol; and (ii) sets out the basis on which it is given and the extent to which relevant standards, specifications, rules, codes of practice and other publications have been relied upon. (b) Another form of documentary evidence that correctly describes how the calculation method complies with a relevant ABCB protocol.",,,2,A5,,NCC_VOL_3
NCC_VOL_3:TAS A5G4,TAS A5G4,Evidence of suitability Volume Three(PCA),"[2019: A5. 3] (1) Any product that is intended for use in contact with drinking water must comply with the relevant requirements of AS/NZS 4020, verified in the form of either— (a) a test report provided by an Accredited Testing Laboratory, in accordance with AS/NZS 4020; or (b) a Water Mark Licence issued in accordance with(3), if it includes compliance with AS/NZS 4020. (2) Any product that contains copper alloy and is intended for use in contact with drinking water must have a weighted average lead content of not more than 0. 25% verified in the form of either— (a) a test report provided by an Accredited Testing Laboratory, in accordance with NSF/ANSI/CAN 372; or (b) a Water Mark Licence issued in accordance with(3), if it includes compliance with NSF/ANSI/CAN 372. (3) A productof a type listed on the Water Mark Schedule of Products is deemed to be fit for its intended purpose if it has a Water Mark Licence issued in accordance with the Water Mark Scheme Rules. (4) A product of a type listed on the Watermark Schedule of Excluded Products requires evidence of suitability in the form of— (a) a current certificate issued by a certification body stating that the properties and performance of a product can meet the requirements of the PCA; or (b) a report issued by an Accredited Testing Laboratory that— (i) demonstrates that the product complies with the relevant requirements of the PCA; and (ii) sets out the tests the product has been submitted to and the results of those tests and any other relevant information that has been relied upon to demonstrate suitability for use in a plumbing or drainage installation. (5) Any productthat is not covered by(3) or(4) must be subjected to a risk assessment in accordance with the Water Mark Scheme Rules. (6) Evidence to support that a design or system meets the relevant PCA Performance Requirements must be in the form of any one or any combination of the following: (a) The design or system complies with a Deemed-to-Satisfy Provision. (b) The design or system is a Performance Solutionfrom a professional engineer or a recognised expert that— (i) certifies that the design or system complies with the relevant requirements of the PCA; and (ii) sets out the basis on which it is given and the extent to which relevant standards, specifications, rules, codes of practice or other publications have been relied upon. (c) Any other form of documentary evidence that— (i) demonstrates that a design or system complies with the relevant requirements of the PCA; and (ii) sets out the basis on which it is given and the extent to which relevant standards, specifications, rules, codes of practice or other publications have been relied upon. TAS A5G4(10) TAS A5G4(7) TAS A5G4(8) TAS A5G4(9) Explanatory Information: What is Water Mark? The Water Mark Certification Scheme is a mandatory certification scheme for plumbingand drainage productsto ensure that these products are fit for purpose and appropriately authorised for use in a plumbing or drainage system. The PCA, through Part A5, requires certain plumbing and drainage products to be certified and authorised for use in a plumbing or drainage system. These products are certified through the Water Mark Certification Scheme and listed on the Water Mark Product Database. The Water Mark Certification Scheme is governed by the Water Mark Scheme Rules, which are available for download from the ABCB website at: www. abcb. gov. au. These rules set out the requirements for risk assessments, evaluation, certification, and the drafting of Water Mark Technical Specifications. When a product is listed on the Water Mark Schedule of Productsthen, for it to be certified and authorised, the product must— • be tested by an Accredited Testing Laboratory; and • comply with an approved productspecification (either a relevant existing product Standard or a Water Mark Technical Specification); and • be manufactured in accordance with an approved Quality Assurance Program; and • carry a scope of use. Products that comply fully with the applicable requirements of the Water Mark Certification Scheme are then eligible to be certified by a Water Mark Conformity Assessment Body and listed on the Water Mark Product Database. Certified productsare identifiable by the Water Mark certification trade mark, shown in Figure A5G4 below, that must be displayed on the product upon granting of a Water Mark Licence. Figure A5G4(explanatory): Water Mark Certification Scheme Trademarks",,,2,A5,,NCC_VOL_3
NCC_VOL_3:A5G5,A5G5,Fire-resistance of building elements,"[2019: A5. 4] Where a Deemed-to-Satisfy Provision requires a building element to have an FRL, it must be determined in accordance with Specifications 1 and 2.",,,2,A5,,NCC_VOL_3
NCC_VOL_3:A5G6,A5G6,Fire hazard properties,"[2019: A5. 5] Where a Deemed-to-Satisfy Provision requires a building component or assembly to have a fire hazard property it must be determined as follows: (a) For average specific extinction area, critical radiant flux and Flammability Index, as defined in Specification 1. (b) For Smoke-Developed Index and Spread-of-Flame Index, in accordance with Specification 3. (c) For a materials group number or smoke growth rate index (SMOGRARC), in accordance with S7C4(2).",,,2,A5,,NCC_VOL_3
NCC_VOL_3:A5G7,A5G7,Resistance to the incipient spread of fire,"[2019: A5. 6] A ceiling is deemed to have a resistance to the incipient spread of fire to the space above itself if— (a) it is identical with a prototype that has been submitted to the Standard Fire Testand the resistance to the incipient spread of fire achieved by the prototype is confirmed in a report from an Accredited Testing Laboratory that— (i) describes the method and conditions of the test and form of construction of the tested prototype in full; and (ii) certifies that the application of restraint to the prototype complies with the Standard Fire Test; or (b) it differs in only a minor degree from a prototype tested under(a) and the resistance to the incipient spread of fire attributed to the ceiling is confirmed in a report from an Accredited Testing Laboratory that— (i) certifies that the ceiling is capable of achieving the resistance to the incipient spread of fire despite the minor departures from the tested prototype; and (ii) describes the materials, construction and conditions of restraint that are necessary to achieve the resistance to the incipient spread of fire.",,,2,A5,,NCC_VOL_3
NCC_VOL_3:A5G8,A5G8,Labelling of Aluminium Composite Panels,[2019: A5. 7] An Aluminium Composite Panel must be labelled in accordance with SA TS 5344.,,,2,A5,,NCC_VOL_3
NCC_VOL_3:A5G9,A5G9,NatHERS,"[New for 2022] Where house energy rating software is requiredto be used, evidence of the house energy rating softwareoutput must be in the form of a NatHERS certificate issued in accordance with the NatHERS scheme. Introduction to this Part The NCC groups buildings and structures by the purpose for which they are designed, constructed or adapted to be used, assigning each type of building or structure with a classification. This Part explains how each building classification is defined and used in the NCC. The building classifications are labelled Class 1 through to Class 10. Some classifications also have sub-classifications, referred to by a letter after the number(e. g. Class 1a). The technical building requirements for Class 2 to 9 buildings are mostly covered by Volume One of the NCC and those for Class 1 and 10 are mostly covered by Volume Two of the NCC. Volume Three of the NCC covers plumbingand drainage requirements for all building classifications. A building may have parts that have been designed, constructed or adapted for different purposes. In most cases, each of these parts is a separate classification. A building(or part of a building) may also have more than one such purpose and may be assigned more than one classification. Part A6	Building classification Governing Requirements",,,2,A5,,NCC_VOL_3
NCC_VOL_3:A6G1,A6G1,Determining a building classification,"[2019: A6. 0] (1) The classification of a building or part of a building is determined by the purpose for which it is designed, constructed or adapted to be used. (2) Each part of a building must be classified according to its purpose and comply with all the appropriate requirements for its classification. (3) A room that contains a mechanical, thermal or electrical facility or the like that serves the building must have the same classification as the major part or principal use of the building or fire compartment in which it is situated. (4) Unless another classification is more suitable, an occupiable outdoor area must have the same classification as the part of the building to which it is associated.",,,2,A6,,NCC_VOL_3
NCC_VOL_3:A6G2,A6G2,Class 1 buildings,"[2019: A6. 1] (1) A Class 1 building is a dwelling. (2) Class 1 includes the following sub-classifications: (a) Class 1a is one or more buildings, which together form a single dwelling including the following: (i) A detached house. (ii) One of a group of two or more attached dwellings, each being a building, separated by a fire-resistingwall, including a row house, terrace house, town house or villa unit. (b) Class 1b is one or more buildings which together constitute— (i) a boarding house, guest house, hostel or the like that— (A) would ordinarily accommodate not more than 12 people; and (B) have a total area of all floors not more than 300 m2 (measured over the enclosing walls of the building or buildings); or (ii) four or more single dwellings located on one allotment and used for short-term holiday accommodation. Figure A6G2a: Identification of Class 1 buildings Common wall between Class 1 and Class 2 buildings Separating wall between Class 1 buildings Class 2 dwelling Class 1 separate dwellings located one above the other Elevation Figure A6G2b: Typical Class 1 building configurations (a) 3 Class 1 buildings on 3 separate allotments (b) 3 Class 1 buildings on 2 separate allotments Plan view Figure A6G2c: Domestic allotment — classification of buildings and structures Class 10b swimming pool Class 10a carport Class 10a shed (a) Class 10 attached(b) Class 1 part and and Class 10b Class 10 detatched Plan view Apart from their use, the primary difference between Class 1a and Class 1b buildings is that the latter is required to have a greater number of smoke alarms and in some circumstances, access and features for people with a disability.",,,2,A6,,NCC_VOL_3
NCC_VOL_3:A6G3,A6G3,Class 2 buildings,"[2019: A6. 2] (1) A Class 2 building is a building containing two or more sole-occupancy units. (2) Each sole-occupancy unit in a Class 2 building must be a separate dwelling. Explanatory Information A Class 2 building is one that includes more than one dwelling, each of which is generally solely occupied by one or more people to the exclusion of others. Such buildings must not be otherwise classified as a Class 1 or Class 3 building or Class 4 part. See Explanatory Figure A6G3a for a typical configuration of Class 1 and Class 2 buildings. Where a sole-occupancy residential unit is located above another sole-occupancy residential unit, the building containing the units can be either a Class 2 or a Class 3 building, depending on the other circumstances of the building proposal. Class 2 buildings can be single storey attached dwellings. Where there is any common space below such dwellings, they are Class 2(and cannot be Class 1) irrespective of whether the space below is a storey or not(see Explanatory Figure A6G3b). Class 2 buildings can be attached to buildings of another class. The attached Class 2 buildings need not be attached to one another, and need not be more than a single storey. When two or more dwellings are attached to another class, they cannot be Class 4 parts, as any building can only contain one Class 4 dwelling. Figure A6G3a(explanatory): Section showing a typical configuration of Class 1 and Class 2 buildings(with non-combustible roof coverings) Common wall between Class 1 and Class 2 buildings Class 2 dwelling Class 1 single dwelling (may be one or more storeys) Class 2 dwelling Class 2 building containing two or more separate dwellings located one above the other Elevation",,,2,A6,,NCC_VOL_3
NCC_VOL_3:A6G4,A6G4,Class 3 buildings,"[2019: A6. 3] (1) A Class 3 building is a residential building providing long-term or transient accommodation for a number of unrelated persons. (2) Class 3 buildings include the following: (a) A boarding house, guest house, hostel, lodging house or backpacker accommodation. (b) A residential part of a hotel or motel. (c) A residential part of a school. (d) Accommodation for the aged, children, or people with disability. (e) A residential part of a health-care buildingwhich accommodates members of staff. (f) A residential part of a detention centre. (g) A residential care building.",,,2,A6,,NCC_VOL_3
NCC_VOL_3:A6G5,A6G5,Class 4 buildings,"[2019: A6. 4] Class 4 is a dwelling in a Class 5, 6, 7, 8 or 9 building if it is the only dwelling in the building.",,,2,A6,,NCC_VOL_3
NCC_VOL_3:NSW A6G6,NSW A6G6,Class 5 buildings,[2019: A6. 5] A Class 5 building is an office building used for professional or commercial purposes. NSW A6G7 SA A6G7,,,2,A6,,NCC_VOL_3
NCC_VOL_3:A6G7,A6G7,Class 6 buildings,"[2019: A6. 6] (1) A Class 6 building is a shop or other building used for the sale of goods by retail or the supply of services direct to the public. (2) Class 6 buildings include the following: (a) An eating room, cafe, restaurant, milk or soft-drink bar. (b) A dining room, bar area that is not an assembly building, shop or kiosk part of a hotel or motel. (c) A hairdressers or barbers shop, public laundry, or undertakers establishment. (d) A supermarket or sale room, showroom, or service station.",,,2,A6,,NCC_VOL_3
NCC_VOL_3:A6G8,A6G8,Class 7 buildings,"[2019: A6. 7] (1) A Class 7 building is a storage-type building. (2) Class 7 includes the following sub-classifications: (a) Class 7a — a carpark. (b) Class 7b — a building that is used for storage, or display of goods or produce for sale by wholesale.",,,2,A6,,NCC_VOL_3
NCC_VOL_3:A6G9,A6G9,Class 8 buildings,"[2019: A6. 8] (1) A Class 8 building is a process-type building. (2) Class 8 buildings include the following: (a) A laboratory. (b) A building in which the production, assembling, altering, repairing, packing, finishing, or cleaning of goods or produce for sale takes place.",,,2,A6,,NCC_VOL_3
